,GEOID,GEO.display-label,tot_educ,educ_0,educ_1,educ_2,educ_3,educ_4,educ_5,educ_6,educ_7,educ_8,educ_9,educ_10,educ_11,educ_12,educ_13,educ_13.5,educ_14,educ_14.5,educ_15,educ_16,educ_18,educ_20,educ_23,reduc_0,reduc_1,reduc_2,reduc_3,reduc_4,reduc_5,reduc_6,reduc_7,reduc_8,reduc_9,reduc_10,reduc_11,reduc_12,reduc_13,reduc_13.5,reduc_14,reduc_14.5,reduc_15,reduc_16,reduc_18,reduc_20,reduc_23,NTACode
50,36005007800,"Census Tract 78, Bronx County, New York",4002,400,0,0,0,85,14,14,82,199,0,332,128,74,142,142,1130,101,445,216,463,35,0,0.0999500249875,0.0,0.0,0.0,0.0212393803098,0.00349825087456,0.00349825087456,0.0204897551224,0.0497251374313,0.0,0.0829585207396,0.031984007996,0.0184907546227,0.0354822588706,0.0354822588706,0.28235882059,0.0252373813093,0.111194402799,0.0539730134933,0.115692153923,0.00874562718641,0.0,BX59
51,36005007900,"Census Tract 79, Bronx County, New York",3395,129,0,0,34,40,13,28,98,307,62,276,217,191,291,32,908,173,209,162,197,28,0,0.0379970544919,0.0,0.0,0.0100147275405,0.0117820324006,0.00382916053019,0.00824742268041,0.0288659793814,0.0904270986745,0.0182621502209,0.0812960235641,0.0639175257732,0.0562592047128,0.0857142857143,0.00942562592047,0.267452135493,0.0509572901325,0.0615611192931,0.0477172312224,0.0580265095729,0.00824742268041,0.0,BX34
52,36005008300,"Census Tract 83, Bronx County, New York",3189,165,0,0,0,0,59,0,15,200,121,223,151,143,217,87,884,68,497,119,198,42,0,0.0517403574788,0.0,0.0,0.0,0.0,0.0185010975227,0.0,0.00470366886171,0.0627155848228,0.0379429288178,0.0699278770775,0.0473502665412,0.0448416431483,0.0680464095328,0.0272812793979,0.277202884917,0.0213232988398,0.155848228285,0.0373157729696,0.0620884289746,0.0131702728128,0.0,BX33
53,36005008400,"Census Tract 84, Bronx County, New York",1504,44,0,0,0,0,0,20,8,27,29,27,31,24,24,76,559,37,185,67,267,76,3,0.0292553191489,0.0,0.0,0.0,0.0,0.0,0.0132978723404,0.00531914893617,0.0179521276596,0.0192819148936,0.0179521276596,0.0206117021277,0.0159574468085,0.0159574468085,0.0505319148936,0.371675531915,0.0246010638298,0.123005319149,0.0445478723404,0.177526595745,0.0505319148936,0.00199468085106,BX09
54,36005008500,"Census Tract 85, Bronx County, New York",3383,128,0,0,35,0,102,25,146,131,82,143,200,85,129,175,886,234,365,105,326,69,17,0.0378362400236,0.0,0.0,0.0103458468815,0.0,0.0301507537688,0.00738989062962,0.043156961277,0.0387230268992,0.0242388412651,0.0422701744014,0.0591191250369,0.0251256281407,0.0381318356488,0.0517292344073,0.261897723914,0.0691693762932,0.107892403192,0.0310375406444,0.0963641738102,0.0203960981377,0.00502512562814,BX33
55,36005008600,"Census Tract 86, Bronx County, New York",2331,124,0,0,0,55,0,25,44,63,145,97,101,114,79,123,710,96,219,151,153,32,0,0.0531960531961,0.0,0.0,0.0,0.023595023595,0.0,0.010725010725,0.018876018876,0.027027027027,0.0622050622051,0.041613041613,0.043329043329,0.048906048906,0.033891033891,0.0527670527671,0.30459030459,0.041184041184,0.0939510939511,0.0647790647791,0.0656370656371,0.013728013728,0.0,BX09
56,36005008700,"Census Tract 87, Bronx County, New York",3675,172,0,0,0,190,27,69,156,294,53,157,131,160,186,98,832,228,433,284,155,34,16,0.0468027210884,0.0,0.0,0.0,0.0517006802721,0.00734693877551,0.0187755102041,0.0424489795918,0.08,0.0144217687075,0.0427210884354,0.0356462585034,0.043537414966,0.050612244898,0.0266666666667,0.226394557823,0.0620408163265,0.117823129252,0.0772789115646,0.0421768707483,0.00925170068027,0.0043537414966,BX33
57,36005008900,"Census Tract 89, Bronx County, New York",1864,81,0,0,35,32,31,7,48,141,19,82,219,105,48,120,487,67,154,44,120,24,0,0.0434549356223,0.0,0.0,0.0187768240343,0.0171673819742,0.0166309012876,0.00375536480687,0.0257510729614,0.075643776824,0.0101931330472,0.043991416309,0.117489270386,0.056330472103,0.0257510729614,0.0643776824034,0.261266094421,0.0359442060086,0.0826180257511,0.0236051502146,0.0643776824034,0.0128755364807,0.0,BX27
58,36005009000,"Census Tract 90, Bronx County, New York",2276,114,0,0,0,6,17,23,7,48,84,54,45,111,73,94,639,62,434,102,220,143,0,0.0500878734622,0.0,0.0,0.0,0.00263620386643,0.00746924428822,0.0101054481547,0.0030755711775,0.0210896309315,0.0369068541301,0.0237258347979,0.0197715289982,0.048769771529,0.0320738137083,0.0413005272408,0.280755711775,0.0272407732865,0.190685413005,0.0448154657293,0.0966608084359,0.0628295254833,0.0,BX09
59,36005009200,"Census Tract 92, Bronx County, New York",3207,73,0,0,28,31,21,15,22,257,62,101,110,172,188,133,697,156,443,207,397,94,0,0.0227627065794,0.0,0.0,0.00873090115373,0.00966635484877,0.00654817586529,0.00467726847521,0.00685999376364,0.0801371998753,0.0193327096975,0.0314936077331,0.0342999688182,0.0536326785157,0.0586217648893,0.0414717804802,0.217337075148,0.0486435921422,0.138135328968,0.0645463049579,0.123791705644,0.0293108824447,0.0,BX59
60,36005009300,"Census Tract 93, Bronx County, New York",3982,67,25,0,0,0,34,20,0,74,42,244,166,224,414,226,1070,104,505,390,276,101,0,0.0168257157207,0.00627825213461,0.0,0.0,0.0,0.00853842290306,0.00502260170768,0.0,0.0185836263184,0.0105474635861,0.0612757408338,0.0416875941738,0.0562531391261,0.103967855349,0.0567553992968,0.268709191361,0.02611752888,0.126820693119,0.0979407332998,0.069311903566,0.0253641386238,0.0,BX27
61,36005009600,"Census Tract 96, Bronx County, New York",1558,33,0,0,0,13,15,6,15,80,18,65,64,84,20,31,343,44,277,145,220,73,12,0.0211810012837,0.0,0.0,0.0,0.00834403080873,0.00962772785623,0.00385109114249,0.00962772785623,0.0513478818999,0.0115532734275,0.0417201540436,0.0410783055199,0.0539152759949,0.012836970475,0.0198973042362,0.220154043646,0.0282413350449,0.177792041078,0.0930680359435,0.141206675225,0.0468549422336,0.00770218228498,BX59
62,36005009800,"Census Tract 98, Bronx County, New York",3213,90,0,0,6,0,45,22,8,35,18,10,34,89,104,41,1105,82,523,157,658,186,0,0.0280112044818,0.0,0.0,0.00186741363212,0.0,0.0140056022409,0.00684718331777,0.00248988484283,0.0108932461874,0.00560224089636,0.00311235605353,0.010582010582,0.0276999688764,0.0323685029567,0.0127606598195,0.343915343915,0.025521319639,0.1627762216,0.0488639900405,0.204793028322,0.0578898225957,0.0,BX59
63,36005011000,"Census Tract 110, Bronx County, New York",92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,21,0,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326086956522,0.315217391304,0.228260869565,0.0,0.130434782609,0.0,0.0,BX52
64,36005011502,"Census Tract 115.02, Bronx County, New York",2485,25,0,0,0,13,25,95,0,131,0,132,81,161,231,26,690,120,228,299,181,47,0,0.010060362173,0.0,0.0,0.0,0.00523138832998,0.010060362173,0.0382293762575,0.0,0.0527162977867,0.0,0.0531187122736,0.0325955734406,0.0647887323944,0.0929577464789,0.01046277666,0.277665995976,0.0482897384306,0.0917505030181,0.12032193159,0.0728370221328,0.0189134808853,0.0,BX27
65,36005011700,"Census Tract 117, Bronx County, New York",864,11,0,0,0,0,5,0,0,35,0,16,110,54,36,20,232,58,91,71,117,8,0,0.0127314814815,0.0,0.0,0.0,0.0,0.00578703703704,0.0,0.0,0.0405092592593,0.0,0.0185185185185,0.127314814815,0.0625,0.0416666666667,0.0231481481481,0.268518518519,0.0671296296296,0.105324074074,0.0821759259259,0.135416666667,0.00925925925926,0.0,BX27
66,36005011800,"Census Tract 118, Bronx County, New York",2834,0,0,0,29,0,15,0,10,0,64,41,112,49,9,91,900,189,368,141,540,192,84,0.0,0.0,0.0,0.0102328863797,0.0,0.00529287226535,0.0,0.00352858151023,0.0,0.0225829216655,0.014467184192,0.0395201129146,0.0172900494001,0.00317572335921,0.0321100917431,0.317572335921,0.0666901905434,0.129851799577,0.0497529992943,0.190543401553,0.0677487649965,0.029640084686,BX52
67,36005011900,"Census Tract 119, Bronx County, New York",3259,212,0,6,0,26,10,61,41,114,21,197,69,357,238,189,808,148,263,187,230,82,0,0.0650506290273,0.0,0.00184105553851,0.0,0.00797790733354,0.00306842589751,0.0187173979748,0.0125805461798,0.0349800552317,0.00644369438478,0.060447990181,0.0211721386929,0.109542804541,0.0730285363608,0.057993249463,0.247928812519,0.0454127032832,0.0806996011046,0.0573795642835,0.0705737956428,0.0251610923596,0.0,BX27
68,36005012101,"Census Tract 121.01, Bronx County, New York",1570,94,0,0,11,11,35,10,16,74,60,88,94,43,63,81,386,85,144,83,122,59,11,0.059872611465,0.0,0.0,0.00700636942675,0.00700636942675,0.0222929936306,0.00636942675159,0.0101910828025,0.0471337579618,0.0382165605096,0.056050955414,0.059872611465,0.0273885350318,0.040127388535,0.0515923566879,0.245859872611,0.0541401273885,0.0917197452229,0.0528662420382,0.0777070063694,0.0375796178344,0.00700636942675,BX35
69,36005012102,"Census Tract 121.02, Bronx County, New York",752,51,0,0,0,0,16,30,0,40,0,56,24,46,6,43,243,0,47,38,109,3,0,0.0678191489362,0.0,0.0,0.0,0.0,0.0212765957447,0.0398936170213,0.0,0.0531914893617,0.0,0.0744680851064,0.031914893617,0.061170212766,0.00797872340426,0.0571808510638,0.323138297872,0.0,0.0625,0.0505319148936,0.144946808511,0.00398936170213,0.0,BX27
70,36005012300,"Census Tract 123, Bronx County, New York",2130,174,0,0,0,9,27,0,63,17,32,47,75,138,120,105,580,62,271,113,215,42,40,0.0816901408451,0.0,0.0,0.0,0.00422535211268,0.012676056338,0.0,0.0295774647887,0.00798122065728,0.0150234741784,0.0220657276995,0.0352112676056,0.0647887323944,0.056338028169,0.0492957746479,0.272300469484,0.0291079812207,0.127230046948,0.0530516431925,0.100938967136,0.0197183098592,0.018779342723,BX75
71,36005012500,"Census Tract 125, Bronx County, New York",2168,172,0,0,0,15,11,29,26,50,51,103,46,96,70,32,675,27,351,91,249,65,9,0.0793357933579,0.0,0.0,0.0,0.00691881918819,0.00507380073801,0.0133763837638,0.0119926199262,0.0230627306273,0.0235239852399,0.0475092250923,0.0212177121771,0.0442804428044,0.0322878228782,0.0147601476015,0.311346863469,0.0124538745387,0.161900369004,0.0419741697417,0.114852398524,0.0299815498155,0.00415129151292,BX35
